"일련번호","아파트","도로명주소","월","일","전용면적","층","거래금액"
"11680-177","서광","서울특별시 강남구 선릉로130길 19",2,8,59.67,4,"146000"
"11680-4090","세곡푸르지오","서울특별시 강남구 자곡로 21",2,8,59.89,6,"109000"
"11680-4202","한양수자인어반게이트","서울특별시 강남구 봉은사로29길 35",2,8,16.2,6,"21500"
"11680-3622","e-편한세상","서울특별시 강남구 선릉로69길 20",2,9,59.947,12,"179000"
"11680-192","삼성풍림","서울특별시 강남구 봉은사로105길 12-7",2,10,93.78,2,"146000"
"11680-3615","에스케이허브젠","서울특별시 강남구 역삼로 109",2,10,71.91,6,"90000"
"11680-529","테헤란로대우아이빌","서울특별시 강남구 테헤란로 428",2,10,33.11,14,"36000"
"11680-4474","한라비발디","서울특별시 강남구 남부순환로365길 33",2,10,84.9569,2,"172500"
"11680-283","개포우성","서울특별시 강남구 개포로 307",2,11,161,15,"270000"
"11680-573","개포주공","서울특별시 강남구 개포로 310",2,11,42.55,4,"192000"
"11680-320","경남","서울특별시 강남구 논현로 209",2,11,59.76,5,"132000"
"11680-463","노블카운티","서울특별시 강남구 도곡로19길 13",2,11,81.85,1,"73500"
"11680-275","대우디오빌","서울특별시 강남구 언주로 427",2,11,30.03,7,"32500"
"11680-3731","도곡스타클래스","서울특별시 강남구 남부순환로 2615",2,11,112.75,12,"129000"
"11680-34","삼성청담공원","서울특별시 강남구 도산대로96길 39",2,11,59.93,9,"133000"
"11680-317","삼익","서울특별시 강남구 광평로51길 27",2,11,60,3,"115500"
"11680-279","삼익대청","서울특별시 강남구 개포로109길 21",2,11,39.53,8,"100500"
"11680-218","은마","서울특별시 강남구 삼성로 212",2,11,76.79,4,"192000"
"11680-218","은마","서울특별시 강남구 삼성로 212",2,11,84.43,3,"205000"
"11680-222","한보미도맨션","서울특별시 강남구 삼성로 150",2,11,128.01,13,"303000"
"11680-314","까치마을","서울특별시 강남구 광평로19길 10",2,12,39.6,15,"85000"
"11680-314","까치마을","서울특별시 강남구 광평로19길 10",2,12,39.6,9,"86000"
"11680-3623","도곡렉슬","서울특별시 강남구 선릉로 221",2,12,84.9984,6,"230000"
"11680-4319","래미안강남힐즈","서울특별시 강남구 자곡로 101",2,12,101.94,8,"160000"
NA,"래미안블레스티지","서울특별시 강남구 선릉로 8",2,12,59.967,8,"175000"
"11680-518","삼성오네뜨","서울특별시 강남구 테헤란로79길 42",2,12,153.53,7,"173000"
"11680-449","상지리츠빌","서울특별시 강남구 개포로 405",2,12,161.07,6,"215000"
"11680-136","쌍용","서울특별시 강남구 도산대로50길 43",2,12,59.91,12,"89900"
"11680-3621","역삼래미안","서울특별시 강남구 선릉로69길 19",2,12,59.4,14,"155000"
"11680-286","우성","서울특별시 강남구 개포로 311",2,12,84.9,9,"199947"
"11680-218","은마","서울특별시 강남구 삼성로 212",2,12,76.79,6,"194000"
"11680-222","한보미도맨션","서울특별시 강남구 삼성로 150",2,12,84.48,8,"218000"
"11680-427","현대","서울특별시 강남구 압구정로29길 23",2,12,108.47,7,"264000"
"11680-3622","e-편한세상","서울특별시 강남구 선릉로69길 20",2,12,59.606,9,"165000"
"11680-314","까치마을","서울특별시 강남구 광평로19길 10",2,13,39.6,1,"83000"
"11680-3623","도곡렉슬","서울특별시 강남구 선릉로 221",2,13,84.9984,2,"230500"
NA,"래미안블레스티지","서울특별시 강남구 선릉로 8",2,13,84.943,10,"244000"
"11680-3621","역삼래미안","서울특별시 강남구 선릉로69길 19",2,13,59.73,13,"161000"
"11680-3643","역삼푸르지오","서울특별시 강남구 언주로 332",2,13,59.8848,6,"157000"
"11680-218","은마","서울특별시 강남구 삼성로 212",2,13,84.43,14,"207000"
"11680-422","현대","서울특별시 강남구 압구정로 309",2,13,107.64,12,"236000"
"11680-299","가람","서울특별시 강남구 일원로 127",2,14,75.16,2,"168000"
"11680-573","개포주공","서울특별시 강남구 개포로 310",2,14,58.08,3,"240000"
"11680-205","대치삼성","서울특별시 강남구 도곡로78길 22",2,14,97.35,11,"232000"
"11680-3623","도곡렉슬","서울특별시 강남구 선릉로 221",2,14,134.9023,14,"320000"
"11680-304","샘터마을","서울특별시 강남구 일원로 120",2,14,101.97,11,"175000"
"11680-218","은마","서울특별시 강남구 삼성로 212",2,14,84.43,6,"218000"
"11680-218","은마","서울특별시 강남구 삼성로 212",2,14,84.43,14,"214000"
"11680-218","은마","서울특별시 강남구 삼성로 212",2,14,84.43,8,"210000"
"11680-218","은마","서울특별시 강남구 삼성로 212",2,14,84.43,11,"207000"
"11680-4364","청담스위트","서울특별시 강남구 학동로73길 13",2,14,12.449,5,"22700"
"11680-3882","청담파라곤Ⅱ","서울특별시 강남구 압구정로71길 32",2,14,195.88,3,"260000"
"11680-364","타워팰리스","서울특별시 강남구 언주로30길 56",2,14,164.97,19,"265000"
"11680-365","타워팰리스","서울특별시 강남구 언주로30길 57",2,14,164.99,37,"295000"
"11680-309","한솔마을","서울특별시 강남구 광평로10길 6",2,14,84.73,4,"160000"
"11680-4202","한양수자인어반게이트","서울특별시 강남구 봉은사로29길 35",2,14,16.2,4,"22000"
"11680-434","LG선릉에클라트","서울특별시 강남구 선릉로100길 42",2,14,36.16,3,"32500"
"11680-522","LG선릉에클라트","서울특별시 강남구 테헤란로63길 12",2,14,36.35,15,"37500"
"11680-4298","강남한양수자인","서울특별시 강남구 자곡로 260",2,15,114.46,5,"165000"
